ticker,model,n,n_positive,base_rate,roc_auc,pr_auc,precision,recall,f1,brier_score,log_loss,calibration_intercept,calibration_slope,expected_calibration_error
QQQ,compression_rule,378,175,0.46296296296296297,0.4323011963406052,0.42437482635257245,0.3076923076923077,0.022857142857142857,0.0425531914893617,0.2527574186145589,0.6989006132306775,-0.4663319037948622,-1.4479168062721277,0.030618564382325006
QQQ,dummy_prior,378,175,0.46296296296296297,0.454679802955665,0.44337678395376195,0.0,0.0,0.0,0.25087837581905276,0.6949819675346792,-0.3670897030697574,-1.0183593215058753,0.016267427640958843
QQQ,logistic_regression,378,175,0.46296296296296297,0.5261365235749472,0.49505904660286015,0.5,0.12,0.1935483870967742,0.24875233402962804,0.6906378505590759,-0.055932405707538574,0.4295791534272142,0.027890067363702534
QQQ,logistic_regression_isotonic,378,175,0.46296296296296297,0.46997888810696686,0.4586998979279378,0.5,0.12571428571428572,0.2009132420091324,0.2558015395498801,0.7068415105595047,-0.20816878592122623,-0.3076464979937938,0.030036808250500813
QQQ,random_forest,378,175,0.46296296296296297,0.48793807178043636,0.44985522526907984,0.2857142857142857,0.03428571428571429,0.061224489795918366,0.2528429092730516,0.6990944960069975,-0.18558234161560283,-0.12236602104541891,0.06267626366928045
QQQ,random_forest_isotonic,378,175,0.46296296296296297,0.4577762139338494,0.4735036663369742,0.47619047619047616,0.11428571428571428,0.18433179723502305,0.25151144021820443,0.696117106222613,-0.14271036578369517,0.03867556561123429,0.03312174579463814
SPY,compression_rule,378,169,0.4470899470899471,0.4365108575634892,0.41010592492938464,0.42105263157894735,0.047337278106508875,0.0851063829787234,0.2526683690314088,0.698854454595531,-0.5367133104611567,-0.8720231670589994,0.04773878151731154
SPY,dummy_prior,378,169,0.4470899470899471,0.4370629370629371,0.4111380901831824,0.0,0.0,0.0,0.2508211628757753,0.6950528524310607,-0.6208569305856558,-1.0817481539561802,0.046714852871231026
SPY,logistic_regression,378,169,0.4470899470899471,0.5015146796523314,0.4499774796014047,0.4,0.10650887573964497,0.16822429906542055,0.25214172508897564,0.6980938765912177,-0.2536483730638292,-0.16953147311255934,0.041295222266651235
SPY,logistic_regression_isotonic,378,169,0.4470899470899471,0.5219557770165058,0.4625412220072593,0.47191011235955055,0.4970414201183432,0.484149855907781,0.2621361707655544,0.7220630218839712,-0.2043921069592861,0.05778696125137879,0.09600230127643486
SPY,random_forest,378,169,0.4470899470899471,0.5161801760992044,0.4561191448042157,0.47297297297297297,0.20710059171597633,0.2880658436213992,0.2533494747060051,0.7012363549059016,-0.20550085286140077,0.03508990148592756,0.04214143312590531
SPY,random_forest_isotonic,378,169,0.4470899470899471,0.5491350754508649,0.47824021670301425,0.4962962962962963,0.39644970414201186,0.4407894736842105,0.2569020917324917,0.7415192409683744,-0.2046730853529006,0.04288946625593793,0.07280871695245356
